@relation compact_wind_onshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_onshore numeric

@data
20220105,15,0.71,2.150955,80.55414,7.076923,0.080255,0.630573,4.694268,39950.128205,7.069872,253.269231,36737.25
20220105,16,0.5,2.077707,81.815287,6.99359,0.121656,0.656051,1.235669,36910.320513,6.700641,254.423077,35241
20220105,17,0.26,2.078981,82.471338,6.929487,0.10641,0.653846,0,37213.141026,6.576282,258.333333,33479.75
20220105,18,0,2.143312,82.656051,7.102564,0.098718,0.628205,0,36312.24359,6.451282,260.128205,33144.75
20220105,19,-0.26,2.188535,82.675159,7.24359,0.079487,0.673077,0,38267.820513,6.321154,263.205128,32198.25
20220105,20,-0.5,2.136943,83.146497,7.141026,0.073718,0.653846,0,37743.974359,6.234615,266.602564,30494
20220105,21,-0.71,2.070701,83.235669,6.916667,0.076282,0.692308,0,35854.358974,6.001282,264.935897,28558.25
20220105,22,-0.87,1.973885,83.152866,6.679487,0.066242,0.630573,0,35112.051282,5.853846,268.974359,26662.25
20220105,23,-0.97,1.836943,83.509554,6.532051,0.072611,0.675159,0,33868.012821,5.667308,269.935897,25355.5
20220106,0,-1,1.632484,84.33121,6.538462,0.073885,0.700637,0,34210.192308,5.460897,275.448718,24038.75
20220106,1,-0.97,1.393631,85.082803,6.346154,0.073248,0.687898,0,32202.75641,5.223077,273.269231,21757
20220106,2,-0.87,1.132484,85.598726,6.108974,0.064968,0.656051,0,35276.666667,4.925641,278.205128,19478
20220106,3,-0.71,0.943312,85.611465,5.916667,0.067949,0.602564,0,36022.820513,4.757692,279.615385,17002.75
20220106,4,-0.5,0.680892,86.388535,5.532051,0.082692,0.564103,0,36602.884615,4.625641,281.538462,15859
20220106,5,-0.26,0.423567,86.745223,5.064103,0.044872,0.49359,0,36413.012821,4.467308,281.217949,15120
20220106,6,-0,0.189172,86.636943,4.762821,0.105732,0.43949,0,36217.5,4.162821,271.089744,13736.25
20220106,7,0.26,-0.050318,86.866242,4.160256,0.040764,0.363057,0,38178.012821,3.976282,273.782051,11813.75
20220106,8,0.5,-0.224841,87.547771,4.025641,0.019745,0.324841,1.535032,37885.897436,3.754487,269.551282,10359.25
20220106,9,0.71,0.279618,85.433121,3.608974,0.032484,0.229299,24.394904,37667.5,3.547436,269.487179,8795.25
20220106,10,0.87,1.061783,82.184713,3.419355,0.013376,0.22293,35.24359,39549.096774,3.588462,269.294872,7177.5
20220106,11,0.97,1.734395,78.783439,3.490323,0.012102,0.178344,37.089744,41623.16129,3.735897,270.897436,5966.75
20220106,12,1,2.211465,75.605096,3.301282,0.010191,0.152866,38,43924.230769,3.730128,273.269231,5061.75
20220106,13,0.97,2.526752,73.802548,3.012821,0.005732,0.133758,39.288462,45451.346154,3.622436,273.269231,4402.5
20220106,14,0.87,2.336943,74.458599,2.737179,0.024204,0.152866,39.051282,45393.205128,3.405769,264.166667,3778.5
20220106,15,0.71,1.757325,77.56051,2.49359,0.029299,0.171975,33.173077,44754.230769,2.817308,261.602564,3654.5
20220106,16,0.5,0.521656,83.484076,2.294872,0.000637,0.082803,4.25,40391.282051,2.387821,240.320513,5142
20220106,17,0.26,-0.061146,86.197452,2.134615,0,0.050955,0,37157.371795,2.313462,216.730769,7567.25
20220106,18,0,-0.545223,88.305732,2.00641,0.000637,0.044586,0,32809.74359,2.467949,211.538462,10467.5
20220106,19,-0.26,-0.816561,89.420382,2.448718,0,0.050955,0,30613.846154,2.534615,206.089744,12954
20220106,20,-0.5,-0.998726,90.229299,2.762821,0,0.025478,0,27942.24359,2.716026,200.641026,14942.75
20220106,21,-0.71,-1.159873,90.675159,3.378205,0.001911,0.019108,0,27167.435897,2.835897,198.076923,16566
20220106,22,-0.87,-1.238217,90.420382,3.916667,0,0.012739,0,26586.025641,2.964103,190.833333,17176
20220106,23,-0.97,-1.341401,90.464968,4.333333,0.001274,0.012739,0,25664.615385,3.151923,192.24359,18126.5
20220107,0,-1,-1.357962,90.159236,5.121795,0,0.025478,0,24305.064103,3.335256,186.217949,19018.5
20220107,1,-0.97,-1.320382,89.707006,5.49359,0,0.025478,0,23957.75641,3.544231,188.012821,19942.75
